sale_id,sale_date,product_id,region_id,units_sold,sales_amount,promotion_id
77,2025-07-01,P016,R02,71,127.8,
78,2025-07-01,P016,R03,71,127.8,
79,2025-07-01,P016,R04,78,140.4,
80,2025-07-01,P016,R05,71,127.8,
81,2025-07-01,P017,R01,64,124.8,
82,2025-07-01,P017,R02,70,136.5,
83,2025-07-01,P017,R03,61,118.95,
84,2025-07-01,P017,R04,57,111.15,
85,2025-07-01,P017,R05,72,140.4,
86,2025-07-01,P018,R01,35,98.0,
87,2025-07-01,P018,R02,30,84.0,
88,2025-07-01,P018,R03,30,84.0,
89,2025-07-01,P018,R04,30,84.0,
90,2025-07-01,P018,R05,36,100.8,
91,2025-07-02,P001,R01,162,243.0,
92,2025-07-02,P001,R02,343,437.32,PROM01
93,2025-07-02,P001,R03,152,228.0,
94,2025-07-02,P001,R04,288,367.2,PROM02
95,2025-07-02,P001,R05,186,279.0,
96,2025-07-02,P002,R01,95,152.0,
97,2025-07-02,P002,R02,119,190.4,
98,2025-07-02,P002,R03,118,188.8,
99,2025-07-02,P002,R04,113,180.8,
100,2025-07-02,P002,R05,104,166.4,
101,2025-07-02,P003,R01,87,191.4,
102,2025-07-02,P003,R02,74,162.8,
103,2025-07-02,P003,R03,82,180.4,
104,2025-07-02,P003,R04,82,180.4,
105,2025-07-02,P003,R05,95,209.0,
106,2025-07-02,P004,R01,77,231.0,
107,2025-07-02,P004,R02,65,195.0,
108,2025-07-02,P004,R03,70,210.0,
109,2025-07-02,P004,R04,63,189.0,
110,2025-07-02,P004,R05,78,234.0,
111,2025-07-02,P005,R01,240,192.0,
112,2025-07-02,P005,R02,248,198.4,
113,2025-07-02,P005,R03,250,200.0,
114,2025-07-02,P005,R04,322,257.6,
115,2025-07-02,P005,R05,215,172.0,
116,2025-07-02,P006,R01,145,174.0,
117,2025-07-02,P006,R02,136,163.2,
118,2025-07-02,P006,R03,146,175.2,
119,2025-07-02,P006,R04,136,163.2,
120,2025-07-02,P006,R05,114,136.8,
121,2025-07-02,P007,R01,56,252.0,
122,2025-07-02,P007,R02,51,229.5,
123,2025-07-02,P007,R03,67,301.5,
124,2025-07-02,P007,R04,66,297.0,
125,2025-07-02,P007,R05,65,292.5,
126,2025-07-02,P008,R01,50,140.0,
127,2025-07-02,P008,R02,31,86.8,
128,2025-07-02,P008,R03,55,154.0,
129,2025-07-02,P008,R04,61,170.8,
130,2025-07-02,P008,R05,39,109.2,
131,2025-07-02,P009,R01,39,113.1,
132,2025-07-02,P009,R02,34,98.6,
133,2025-07-02,P009,R03,43,124.7,
134,2025-07-02,P009,R04,43,124.7,
135,2025-07-02,P009,R05,35,101.5,
136,2025-07-02,P010,R01,29,92.8,
137,2025-07-02,P010,R02,30,96.0,
138,2025-07-02,P010,R03,27,86.4,
139,2025-07-02,P010,R04,33,105.6,
140,2025-07-02,P010,R05,29,92.8,
141,2025-07-02,P011,R01,31,62.0,
142,2025-07-02,P011,R02,35,70.0,
143,2025-07-02,P011,R03,37,74.0,
144,2025-07-02,P011,R04,31,62.0,
145,2025-07-02,P011,R05,33,66.0,
146,2025-07-02,P012,R01,68,170.0,
147,2025-07-02,P012,R02,68,170.0,
148,2025-07-02,P012,R03,52,130.0,
149,2025-07-02,P012,R04,72,180.0,
150,2025-07-02,P012,R05,53,132.5,
151,2025-07-02,P013,R01,44,114.4,
152,2025-07-02,P013,R02,45,117.0,
153,2025-07-02,P013,R03,49,127.4,
154,2025-07-02,P013,R04,44,114.4,
155,2025-07-02,P013,R05,43,111.8,
156,2025-07-02,P014,R01,31,108.5,
157,2025-07-02,P014,R02,37,129.5,
158,2025-07-02,P014,R03,33,115.5,
159,2025-07-02,P014,R04,40,140.0,
160,2025-07-02,P014,R05,39,136.5,
161,2025-07-02,P015,R01,73,131.4,
162,2025-07-02,P015,R02,85,153.0,
163,2025-07-02,P015,R03,80,144.0,
164,2025-07-02,P015,R04,63,113.4,
165,2025-07-02,P015,R05,68,122.4,
166,2025-07-02,P016,R01,87,156.6,
167,2025-07-02,P016,R02,78,140.4,
168,2025-07-02,P016,R03,76,136.8,
169,2025-07-02,P016,R04,83,149.4,
170,2025-07-02,P016,R05,84,151.2,
171,2025-07-02,P017,R01,57,111.15,
172,2025-07-02,P017,R02,55,107.25,
173,2025-07-02,P017,R03,61,118.95,
174,2025-07-02,P017,R04,61,118.95,
175,2025-07-02,P017,R05,62,120.9,
176,2025-07-02,P018,R01,37,103.6,
177,2025-07-02,P018,R02,36,100.8,
178,2025-07-02,P018,R03,40,112.0,
179,2025-07-02,P018,R04,30,84.0,
180,2025-07-02,P018,R05,33,92.4,
181,2025-07-03,P001,R01,152,228.0,
182,2025-07-03,P001,R02,295,376.12,PROM01
183,2025-07-03,P001,R03,147,220.5,
184,2025-07-03,P001,R04,236,300.9,PROM02
185,2025-07-03,P001,R05,155,232.5,
186,2025-07-03,P002,R01,126,201.6,
187,2025-07-03,P002,R02,110,176.0,
188,2025-07-03,P002,R03,124,198.4,
189,2025-07-03,P002,R04,113,180.8,
190,2025-07-03,P002,R05,96,153.6,
191,2025-07-03,P003,R01,96,211.2,
192,2025-07-03,P003,R02,92,202.4,
193,2025-07-03,P003,R03,95,209.0,
194,2025-07-03,P003,R04,94,206.8,
195,2025-07-03,P003,R05,92,202.4,
196,2025-07-03,P004,R01,62,186.0,
197,2025-07-03,P004,R02,69,207.0,
198,2025-07-03,P004,R03,63,189.0,
199,2025-07-03,P004,R04,67,201.0,
200,2025-07-03,P004,R05,60,180.0,
201,2025-07-03,P005,R01,208,166.4,
202,2025-07-03,P005,R02,302,241.6,
203,2025-07-03,P005,R03,223,178.4,
204,2025-07-03,P005,R04,338,270.4,
205,2025-07-03,P005,R05,236,188.8,
206,2025-07-03,P006,R01,131,157.2,
207,2025-07-03,P006,R02,153,183.6,
208,2025-07-03,P006,R03,155,186.0,
209,2025-07-03,P006,R04,137,164.4,
210,2025-07-03,P006,R05,143,171.6,
211,2025-07-03,P007,R01,53,238.5,
212,2025-07-03,P007,R02,56,252.0,
213,2025-07-03,P007,R03,68,306.0,
214,2025-07-03,P007,R04,61,274.5,
215,2025-07-03,P007,R05,60,270.0,
216,2025-07-03,P008,R01,58,162.4,
217,2025-07-03,P008,R02,31,86.8,
218,2025-07-03,P008,R03,50,140.0,
219,2025-07-03,P008,R04,54,151.2,
220,2025-07-03,P008,R05,49,137.2,
221,2025-07-03,P009,R01,35,101.5,
222,2025-07-03,P009,R02,45,130.5,
223,2025-07-03,P009,R03,34,98.6,
224,2025-07-03,P009,R04,36,104.4,
225,2025-07-03,P009,R05,41,118.9,
226,2025-07-03,P010,R01,31,99.2,
227,2025-07-03,P010,R02,27,86.4,
228,2025-07-03,P010,R03,26,83.2,
229,2025-07-03,P010,R04,33,105.6,
230,2025-07-03,P010,R05,27,86.4,
231,2025-07-03,P011,R01,35,70.0,
232,2025-07-03,P011,R02,36,72.0,
233,2025-07-03,P011,R03,34,68.0,
234,2025-07-03,P011,R04,35,70.0,
235,2025-07-03,P011,R05,35,70.0,
236,2025-07-03,P012,R01,67,167.5,
237,2025-07-03,P012,R02,60,150.0,
238,2025-07-03,P012,R03,57,142.5,
239,2025-07-03,P012,R04,66,165.0,
240,2025-07-03,P012,R05,58,145.0,
241,2025-07-03,P013,R01,50,130.0,
242,2025-07-03,P013,R02,45,117.0,
243,2025-07-03,P013,R03,45,117.0,
244,2025-07-03,P013,R04,51,132.6,
245,2025-07-03,P013,R05,41,106.6,
246,2025-07-03,P014,R01,35,122.5,
247,2025-07-03,P014,R02,41,143.5,
248,2025-07-03,P014,R03,41,143.5,
249,2025-07-03,P014,R04,31,108.5,
250,2025-07-03,P014,R05,32,112.0,
251,2025-07-03,P015,R01,78,140.4,
252,2025-07-03,P015,R02,104,187.2,
253,2025-07-03,P015,R03,85,153.0,
254,2025-07-03,P015,R04,77,138.6,
255,2025-07-03,P015,R05,73,131.4,
256,2025-07-03,P016,R01,69,124.2,
257,2025-07-03,P016,R02,84,151.2,
258,2025-07-03,P016,R03,81,145.8,
259,2025-07-03,P016,R04,79,142.2,
260,2025-07-03,P016,R05,88,158.4,
261,2025-07-03,P017,R01,65,126.75,
262,2025-07-03,P017,R02,53,103.35,
263,2025-07-03,P017,R03,68,132.6,
264,2025-07-03,P017,R04,59,115.05,
265,2025-07-03,P017,R05,66,128.7,
266,2025-07-03,P018,R01,39,109.2,
267,2025-07-03,P018,R02,31,86.8,
268,2025-07-03,P018,R03,30,84.0,
269,2025-07-03,P018,R04,30,84.0,
270,2025-07-03,P018,R05,35,98.0,
271,2025-07-04,P001,R01,153,229.5,
272,2025-07-04,P001,R02,1201,1531.27,PROM01
273,2025-07-04,P001,R03,150,225.0,
274,2025-07-04,P001,R04,284,362.1,PROM02
275,2025-07-04,P001,R05,185,277.5,
276,2025-07-04,P002,R01,98,156.8,
277,2025-07-04,P002,R02,109,174.4,
278,2025-07-04,P002,R03,104,166.4,
279,2025-07-04,P002,R04,95,152.0,
280,2025-07-04,P002,R05,121,193.6,
281,2025-07-04,P003,R01,87,191.4,
282,2025-07-04,P003,R02,78,171.6,
283,2025-07-04,P003,R03,90,198.0,
284,2025-07-04,P003,R04,85,187.0,
285,2025-07-04,P003,R05,82,180.4,
286,2025-07-04,P004,R01,59,177.0,
287,2025-07-04,P004,R02,61,183.0,
288,2025-07-04,P004,R03,78,234.0,
289,2025-07-04,P004,R04,78,234.0,
290,2025-07-04,P004,R05,70,210.0,
291,2025-07-04,P005,R01,237,189.6,
292,2025-07-04,P005,R02,270,216.0,
293,2025-07-04,P005,R03,214,171.2,
294,2025-07-04,P005,R04,277,221.6,
295,2025-07-04,P005,R05,226,180.8,
296,2025-07-04,P006,R01,151,181.2,
297,2025-07-04,P006,R02,146,175.2,
298,2025-07-04,P006,R03,149,178.8,
299,2025-07-04,P006,R04,151,181.2,
300,2025-07-04,P006,R05,123,147.6,
301,2025-07-04,P007,R01,55,247.5,
302,2025-07-04,P007,R02,52,234.0,
303,2025-07-04,P007,R03,65,292.5,
304,2025-07-04,P007,R04,66,297.0,
305,2025-07-04,P007,R05,58,261.0,
306,2025-07-04,P008,R01,55,154.0,
307,2025-07-04,P008,R02,32,89.6,
308,2025-07-04,P008,R03,55,154.0,
309,2025-07-04,P008,R04,59,165.2,
310,2025-07-04,P008,R05,51,142.8,
311,2025-07-04,P009,R01,43,124.7,
312,2025-07-04,P009,R02,44,127.6,
313,2025-07-04,P009,R03,34,98.6,
314,2025-07-04,P009,R04,42,121.8,
315,2025-07-04,P009,R05,37,107.3,
316,2025-07-04,P010,R01,33,105.6,
317,2025-07-04,P010,R02,32,102.4,
318,2025-07-04,P010,R03,33,105.6,
319,2025-07-04,P010,R04,32,102.4,
320,2025-07-04,P010,R05,27,86.4,
321,2025-07-04,P011,R01,38,76.0,
322,2025-07-04,P011,R02,30,60.0,
323,2025-07-04,P011,R03,38,76.0,
324,2025-07-04,P011,R04,38,76.0,
325,2025-07-04,P011,R05,32,64.0,
326,2025-07-04,P012,R01,65,162.5,
327,2025-07-04,P012,R02,65,162.5,
328,2025-07-04,P012,R03,50,125.0,
329,2025-07-04,P012,R04,78,195.0,
330,2025-07-04,P012,R05,55,137.5,
331,2025-07-04,P013,R01,41,106.6,
332,2025-07-04,P013,R02,43,111.8,
333,2025-07-04,P013,R03,45,117.0,
334,2025-07-04,P013,R04,53,137.8,
335,2025-07-04,P013,R05,54,140.4,
336,2025-07-04,P014,R01,33,115.5,
337,2025-07-04,P014,R02,37,129.5,
338,2025-07-04,P014,R03,34,119.0,
339,2025-07-04,P014,R04,41,143.5,
340,2025-07-04,P014,R05,36,126.0,
341,2025-07-04,P015,R01,95,171.0,
342,2025-07-04,P015,R02,81,145.8,
343,2025-07-04,P015,R03,87,156.6,
344,2025-07-04,P015,R04,62,111.6,
345,2025-07-04,P015,R05,87,156.6,
346,2025-07-04,P016,R01,71,127.8,
347,2025-07-04,P016,R02,67,120.6,
348,2025-07-04,P016,R03,75,135.0,
349,2025-07-04,P016,R04,82,147.6,
350,2025-07-04,P016,R05,72,129.6,
351,2025-07-04,P017,R01,65,126.75,
352,2025-07-04,P017,R02,63,122.85,
353,2025-07-04,P017,R03,60,117.0,
354,2025-07-04,P017,R04,64,124.8,
355,2025-07-04,P017,R05,58,113.1,
356,2025-07-04,P018,R01,37,103.6,
357,2025-07-04,P018,R02,29,81.2,
358,2025-07-04,P018,R03,39,109.2,
359,2025-07-04,P018,R04,35,98.0,
360,2025-07-04,P018,R05,37,103.6,
361,2025-07-05,P001,R01,190,285.0,
362,2025-07-05,P001,R02,408,520.2,PROM01
363,2025-07-05,P001,R03,185,277.5,
364,2025-07-05,P001,R04,364,464.1,PROM02
365,2025-07-05,P001,R05,205,307.5,
366,2025-07-05,P002,R01,137,219.2,
367,2025-07-05,P002,R02,141,225.6,
368,2025-07-05,P002,R03,141,225.6,
369,2025-07-05,P002,R04,136,217.6,
370,2025-07-05,P002,R05,129,206.4,
371,2025-07-05,P003,R01,106,233.2,
372,2025-07-05,P003,R02,123,270.6,
373,2025-07-05,P003,R03,115,253.0,
374,2025-07-05,P003,R04,122,268.4,
375,2025-07-05,P003,R05,113,248.6,
376,2025-07-05,P004,R01,85,255.0,
377,2025-07-05,P004,R02,92,276.0,
378,2025-07-05,P004,R03,77,231.0,
379,2025-07-05,P004,R04,85,255.0,
380,2025-07-05,P004,R05,89,267.0,
381,2025-07-05,P005,R01,287,229.6,
382,2025-07-05,P005,R02,359,287.2,
383,2025-07-05,P005,R03,308,246.4,
384,2025-07-05,P005,R04,398,318.4,
385,2025-07-05,P005,R05,309,247.2,
386,2025-07-05,P006,R01,196,235.2,
387,2025-07-05,P006,R02,191,229.2,
388,2025-07-05,P006,R03,158,189.6,
389,2025-07-05,P006,R04,153,183.6,
390,2025-07-05,P006,R05,176,211.2,
391,2025-07-05,P007,R01,81,364.5,
392,2025-07-05,P007,R02,74,333.0,
393,2025-07-05,P007,R03,85,382.5,
394,2025-07-05,P007,R04,83,373.5,
395,2025-07-05,P007,R05,82,369.0,
396,2025-07-05,P008,R01,64,179.2,
397,2025-07-05,P008,R02,42,117.6,
398,2025-07-05,P008,R03,55,154.0,
399,2025-07-05,P008,R04,64,179.2,
400,2025-07-05,P008,R05,58,162.4,
401,2025-07-05,P009,R01,57,165.3,
402,2025-07-05,P009,R02,45,130.5,
403,2025-07-05,P009,R03,50,145.0,
404,2025-07-05,P009,R04,54,156.6,
405,2025-07-05,P009,R05,47,136.3,
406,2025-07-05,P010,R01,41,131.2,
407,2025-07-05,P010,R02,38,121.6,
408,2025-07-05,P010,R03,36,115.2,
409,2025-07-05,P010,R04,40,128.0,
410,2025-07-05,P010,R05,33,105.6,
411,2025-07-05,P011,R01,48,96.0,
412,2025-07-05,P011,R02,49,98.0,
413,2025-07-05,P011,R03,40,80.0,
414,2025-07-05,P011,R04,44,88.0,
415,2025-07-05,P011,R05,41,82.0,
416,2025-07-05,P012,R01,88,220.0,
417,2025-07-05,P012,R02,86,215.0,
418,2025-07-05,P012,R03,60,150.0,
419,2025-07-05,P012,R04,86,215.0,
420,2025-07-05,P012,R05,86,215.0,
421,2025-07-05,P013,R01,61,158.6,
422,2025-07-05,P013,R02,68,176.8,
423,2025-07-05,P013,R03,65,169.0,
424,2025-07-05,P013,R04,71,184.6,
425,2025-07-05,P013,R05,64,166.4,
426,2025-07-05,P014,R01,53,185.5,
427,2025-07-05,P014,R02,52,182.0,
428,2025-07-05,P014,R03,48,168.0,
429,2025-07-05,P014,R04,49,171.5,
430,2025-07-05,P014,R05,46,161.0,
431,2025-07-05,P015,R01,121,217.8,
432,2025-07-05,P015,R02,121,217.8,
433,2025-07-05,P015,R03,112,201.6,
434,2025-07-05,P015,R04,96,172.8,
435,2025-07-05,P015,R05,99,178.2,
436,2025-07-05,P016,R01,92,165.6,
437,2025-07-05,P016,R02,92,165.6,
438,2025-07-05,P016,R03,104,187.2,
439,2025-07-05,P016,R04,108,194.4,
440,2025-07-05,P016,R05,100,180.0,
441,2025-07-05,P017,R01,85,165.75,
442,2025-07-05,P017,R02,76,148.2,
443,2025-07-05,P017,R03,71,138.45,
444,2025-07-05,P017,R04,76,148.2,
445,2025-07-05,P017,R05,76,148.2,
446,2025-07-05,P018,R01,42,117.6,
447,2025-07-05,P018,R02,45,126.0,
448,2025-07-05,P018,R03,40,112.0,
449,2025-07-05,P018,R04,41,114.8,
450,2025-07-05,P018,R05,47,131.6,
451,2025-07-06,P001,R01,221,331.5,
452,2025-07-06,P001,R02,379,483.22,PROM01
453,2025-07-06,P001,R03,179,268.5,
454,2025-07-06,P001,R04,321,409.27,PROM02
455,2025-07-06,P001,R05,244,366.0,
456,2025-07-06,P002,R01,154,246.4,
457,2025-07-06,P002,R02,161,257.6,
458,2025-07-06,P002,R03,140,224.0,
459,2025-07-06,P002,R04,139,222.4,
460,2025-07-06,P002,R05,156,249.6,
461,2025-07-06,P003,R01,124,272.8,
462,2025-07-06,P003,R02,117,257.4,
463,2025-07-06,P003,R03,112,246.4,
464,2025-07-06,P003,R04,100,220.0,
465,2025-07-06,P003,R05,94,206.8,
466,2025-07-06,P004,R01,95,285.0,
467,2025-07-06,P004,R02,81,243.0,
468,2025-07-06,P004,R03,80,240.0,
469,2025-07-06,P004,R04,94,282.0,
470,2025-07-06,P004,R05,88,264.0,
471,2025-07-06,P005,R01,240,192.0,
472,2025-07-06,P005,R02,305,244.0,
473,2025-07-06,P005,R03,269,215.2,
474,2025-07-06,P005,R04,370,296.0,
475,2025-07-06,P005,R05,295,236.0,
476,2025-07-06,P006,R01,169,202.8,
477,2025-07-06,P006,R02,192,230.4,
478,2025-07-06,P006,R03,153,183.6,
479,2025-07-06,P006,R04,177,212.4,
480,2025-07-06,P006,R05,167,200.4,
481,2025-07-06,P007,R01,84,378.0,
482,2025-07-06,P007,R02,83,373.5,
483,2025-07-06,P007,R03,70,315.0,
484,2025-07-06,P007,R04,69,310.5,
485,2025-07-06,P007,R05,81,364.5,
486,2025-07-06,P008,R01,64,179.2,
487,2025-07-06,P008,R02,49,137.2,
488,2025-07-06,P008,R03,69,193.2,
489,2025-07-06,P008,R04,63,176.4,
490,2025-07-06,P008,R05,60,168.0,
491,2025-07-06,P009,R01,55,159.5,
492,2025-07-06,P009,R02,45,130.5,
493,2025-07-06,P009,R03,56,162.4,
494,2025-07-06,P009,R04,59,171.1,
495,2025-07-06,P009,R05,45,130.5,
496,2025-07-06,P010,R01,33,105.6,
497,2025-07-06,P010,R02,36,115.2,
498,2025-07-06,P010,R03,41,131.2,
499,2025-07-06,P010,R04,44,140.8,
500,2025-07-06,P010,R05,37,118.4,
501,2025-07-06,P011,R01,48,96.0,
502,2025-07-06,P011,R02,39,78.0,
503,2025-07-06,P011,R03,48,96.0,
504,2025-07-06,P011,R04,47,94.0,
505,2025-07-06,P011,R05,40,80.0,
506,2025-07-06,P012,R01,84,210.0,
507,2025-07-06,P012,R02,88,220.0,
508,2025-07-06,P012,R03,62,155.0,
509,2025-07-06,P012,R04,107,267.5,
510,2025-07-06,P012,R05,74,185.0,
511,2025-07-06,P013,R01,61,158.6,
512,2025-07-06,P013,R02,59,153.4,
513,2025-07-06,P013,R03,62,161.2,
514,2025-07-06,P013,R04,59,153.4,
515,2025-07-06,P013,R05,68,176.8,
516,2025-07-06,P014,R01,51,178.5,
517,2025-07-06,P014,R02,41,143.5,
518,2025-07-06,P014,R03,53,185.5,
519,2025-07-06,P014,R04,48,168.0,
520,2025-07-06,P014,R05,51,178.5,
521,2025-07-06,P015,R01,116,208.8,
522,2025-07-06,P015,R02,128,230.4,
523,2025-07-06,P015,R03,93,167.4,
524,2025-07-06,P015,R04,91,163.8,
525,2025-07-06,P015,R05,99,178.2,
526,2025-07-06,P016,R01,107,192.6,
527,2025-07-06,P016,R02,110,198.0,
528,2025-07-06,P016,R03,87,156.6,
529,2025-07-06,P016,R04,92,165.6,
530,2025-07-06,P016,R05,103,185.4,
531,2025-07-06,P017,R01,70,136.5,
532,2025-07-06,P017,R02,74,144.3,
533,2025-07-06,P017,R03,89,173.55,
534,2025-07-06,P017,R04,91,177.45,
535,2025-07-06,P017,R05,76,148.2,
536,2025-07-06,P018,R01,51,142.8,
537,2025-07-06,P018,R02,48,134.4,
538,2025-07-06,P018,R03,45,126.0,
539,2025-07-06,P018,R04,47,131.6,
540,2025-07-06,P018,R05,47,131.6,
541,2025-07-07,P001,R01,177,265.5,
542,2025-07-07,P001,R02,306,390.15,PROM01
543,2025-07-07,P001,R03,152,228.0,
544,2025-07-07,P001,R04,272,346.8,PROM02
545,2025-07-07,P001,R05,159,238.5,
546,2025-07-07,P002,R01,118,188.8,
547,2025-07-07,P002,R02,103,164.8,
548,2025-07-07,P002,R03,99,158.4,
549,2025-07-07,P002,R04,101,161.6,
550,2025-07-07,P002,R05,113,180.8,
551,2025-07-07,P003,R01,90,198.0,
552,2025-07-07,P003,R02,76,167.2,
553,2025-07-07,P003,R03,77,169.4,
554,2025-07-07,P003,R04,83,182.6,
555,2025-07-07,P003,R05,90,198.0,
556,2025-07-07,P004,R01,80,240.0,
557,2025-07-07,P004,R02,70,210.0,
558,2025-07-07,P004,R03,65,195.0,
559,2025-07-07,P004,R04,63,189.0,
560,2025-07-07,P004,R05,64,192.0,
561,2025-07-07,P005,R01,195,156.0,
562,2025-07-07,P005,R02,225,180.0,
563,2025-07-07,P005,R03,242,193.6,
564,2025-07-07,P005,R04,290,232.0,
565,2025-07-07,P005,R05,274,219.2,
566,2025-07-07,P006,R01,137,164.4,
567,2025-07-07,P006,R02,142,170.4,
568,2025-07-07,P006,R03,119,142.8,
569,2025-07-07,P006,R04,149,178.8,
570,2025-07-07,P006,R05,134,160.8,
571,2025-07-07,P007,R01,66,297.0,
572,2025-07-07,P007,R02,61,274.5,
573,2025-07-07,P007,R03,59,265.5,
574,2025-07-07,P007,R04,58,261.0,
575,2025-07-07,P007,R05,54,243.0,
576,2025-07-07,P008,R01,46,128.8,
577,2025-07-07,P008,R02,35,98.0,
578,2025-07-07,P008,R03,54,151.2,
579,2025-07-07,P008,R04,47,131.6,
580,2025-07-07,P008,R05,38,106.4,
581,2025-07-07,P009,R01,35,101.5,
582,2025-07-07,P009,R02,40,116.0,
583,2025-07-07,P009,R03,37,107.3,
584,2025-07-07,P009,R04,45,130.5,
585,2025-07-07,P009,R05,35,101.5,
586,2025-07-07,P010,R01,32,102.4,
587,2025-07-07,P010,R02,30,96.0,
588,2025-07-07,P010,R03,32,102.4,
589,2025-07-07,P010,R04,27,86.4,
590,2025-07-07,P010,R05,30,96.0,
591,2025-07-07,P011,R01,34,68.0,
592,2025-07-07,P011,R02,34,68.0,
593,2025-07-07,P011,R03,38,76.0,
594,2025-07-07,P011,R04,40,80.0,
595,2025-07-07,P011,R05,32,64.0,
596,2025-07-07,P012,R01,62,155.0,
597,2025-07-07,P012,R02,68,170.0,
598,2025-07-07,P012,R03,61,152.5,
599,2025-07-07,P012,R04,65,162.5,
600,2025-07-07,P012,R05,54,135.0,
601,2025-07-07,P013,R01,43,111.8,
602,2025-07-07,P013,R02,41,106.6,
603,2025-07-07,P013,R03,47,122.2,
604,2025-07-07,P013,R04,44,114.4,
605,2025-07-07,P013,R05,50,130.0,
606,2025-07-07,P014,R01,35,122.5,
607,2025-07-07,P014,R02,40,140.0,
608,2025-07-07,P014,R03,37,129.5,
609,2025-07-07,P014,R04,40,140.0,
610,2025-07-07,P014,R05,36,126.0,
611,2025-07-07,P015,R01,95,171.0,
612,2025-07-07,P015,R02,101,181.8,
613,2025-07-07,P015,R03,67,120.6,
614,2025-07-07,P015,R04,62,111.6,
615,2025-07-07,P015,R05,82,147.6,
616,2025-07-07,P016,R01,78,140.4,
617,2025-07-07,P016,R02,72,129.6,
618,2025-07-07,P016,R03,68,122.4,
619,2025-07-07,P016,R04,81,145.8,
620,2025-07-07,P016,R05,81,145.8,
621,2025-07-07,P017,R01,71,138.45,
622,2025-07-07,P017,R02,63,122.85,
623,2025-07-07,P017,R03,62,120.9,
624,2025-07-07,P017,R04,55,107.25,
625,2025-07-07,P017,R05,54,105.3,
626,2025-07-07,P018,R01,34,95.2,
627,2025-07-07,P018,R02,32,89.6,
628,2025-07-07,P018,R03,30,84.0,
629,2025-07-07,P018,R04,39,109.2,
630,2025-07-07,P018,R05,35,98.0,
